,Low,Medium,High,Overall
blood_sugar_mg_dl,12.139874017116922,0.24586798260371334,12.385741999720635,8.25716133314709
cholesterol_mg_dl,10.740717031843335,0.29325729217285856,11.033974324016215,7.35598288267747
bmi,10.49825288862034,0.4875432687665437,10.985796157386892,7.323864104924592
age,9.614399954855658,0.4320486581710609,10.046448613026735,6.697632408684484
previous_admissions,6.485779295600281,0.8601715076072587,7.34595080320754,4.897300535471693
gender_Female,3.4252133985644817,2.3170696746622697,1.1081437239022043,2.283475599042985
gender_Male,3.3165030486767026,2.420681217708714,0.8958218309679998,2.211002032451139
systolic_bp,2.6077814096179073,0.18069749550881187,2.788478905126716,1.8589859367511448
pulse_pressure,2.177248808812049,0.21015966799746927,2.3874084768095214,1.5916056512063463
mean_arterial_pressure,1.6626978772073673,0.03785799234641388,1.7005558695537784,1.133703913035853
has_previous_admission,0.6179464906360745,0.5200664313117899,0.0978800593242908,0.41196432709071845
diastolic_bp,0.20704089972122833,0.08470732578019616,0.12233357394102935,0.13802726648081795
